"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","GDP","TOT","USD_CAP","A","2016",48599.202676,
"BEL","GDP","TOT","USD_CAP","A","2017",50597.313655,
"BEL","GDP","TOT","USD_CAP","A","2018",54330.539104,
"BEL","GDP","TOT","USD_CAP","A","2019",56343.841885,
"CZE","GDP","TOT","USD_CAP","A","2016",36101.285601,
"CZE","GDP","TOT","USD_CAP","A","2017",38966.92957,
"CZE","GDP","TOT","USD_CAP","A","2018",42439.131904,
"CZE","GDP","TOT","USD_CAP","A","2019",44297.515671,
"DNK","GDP","TOT","USD_CAP","A","2016",51967.020438,
"DNK","GDP","TOT","USD_CAP","A","2017",55533.254696,
"DNK","GDP","TOT","USD_CAP","A","2018",59272.490257,
"DNK","GDP","TOT","USD_CAP","A","2019",62106.494063,
"FIN","GDP","TOT","USD_CAP","A","2016",44934.488245,
"FIN","GDP","TOT","USD_CAP","A","2017",47722.171944,
"FIN","GDP","TOT","USD_CAP","A","2018",51296.001533,
"FIN","GDP","TOT","USD_CAP","A","2019",53160.333274,
"FRA","GDP","TOT","USD_CAP","A","2016",42855.944562,
"FRA","GDP","TOT","USD_CAP","A","2017",44622.758264,
"FRA","GDP","TOT","USD_CAP","A","2018",47922.188509,"P"
"FRA","GDP","TOT","USD_CAP","A","2019",50693.499396,"P"
"DEU","GDP","TOT","USD_CAP","A","2016",50579.483717,
"DEU","GDP","TOT","USD_CAP","A","2017",53121.987176,
"DEU","GDP","TOT","USD_CAP","A","2018",56688.96969,
"DEU","GDP","TOT","USD_CAP","A","2019",57557.866746,
"GRC","GDP","TOT","USD_CAP","A","2016",27471.218206,
"GRC","GDP","TOT","USD_CAP","A","2017",28736.44645,
"GRC","GDP","TOT","USD_CAP","A","2018",30617.584776,"P"
"GRC","GDP","TOT","USD_CAP","A","2019",31780.751031,"P"
"HUN","GDP","TOT","USD_CAP","A","2016",27911.664733,
"HUN","GDP","TOT","USD_CAP","A","2017",29559.214471,
"HUN","GDP","TOT","USD_CAP","A","2018",32834.039347,
"HUN","GDP","TOT","USD_CAP","A","2019",34962.136129,"P"
"ISL","GDP","TOT","USD_CAP","A","2016",53036.962506,
"ISL","GDP","TOT","USD_CAP","A","2017",55259.518131,
"ISL","GDP","TOT","USD_CAP","A","2018",58952.717843,
"ISL","GDP","TOT","USD_CAP","A","2019",60341.946029,
"IRL","GDP","TOT","USD_CAP","A","2016",71793.285749,
"IRL","GDP","TOT","USD_CAP","A","2017",78990.825863,
"IRL","GDP","TOT","USD_CAP","A","2018",87710.318864,
"IRL","GDP","TOT","USD_CAP","A","2019",92232.233525,
"ITA","GDP","TOT","USD_CAP","A","2016",39926.966169,
"ITA","GDP","TOT","USD_CAP","A","2017",41713.908342,
"ITA","GDP","TOT","USD_CAP","A","2018",44444.728353,
"ITA","GDP","TOT","USD_CAP","A","2019",45691.022299,
"LUX","GDP","TOT","USD_CAP","A","2016",110260.934439,
"LUX","GDP","TOT","USD_CAP","A","2017",112545.970282,
"LUX","GDP","TOT","USD_CAP","A","2018",120156.754003,
"LUX","GDP","TOT","USD_CAP","A","2019",124268.964609,
"NLD","GDP","TOT","USD_CAP","A","2016",52289.404292,
"NLD","GDP","TOT","USD_CAP","A","2017",55265.493783,
"NLD","GDP","TOT","USD_CAP","A","2018",59727.051958,"P"
"NLD","GDP","TOT","USD_CAP","A","2019",61242.063233,"P"
"NOR","GDP","TOT","USD_CAP","A","2016",58923.240139,
"NOR","GDP","TOT","USD_CAP","A","2017",64254.892618,
"NOR","GDP","TOT","USD_CAP","A","2018",71909.299582,
"NOR","GDP","TOT","USD_CAP","A","2019",70381.790905,
"POL","GDP","TOT","USD_CAP","A","2016",27985.340009,
"POL","GDP","TOT","USD_CAP","A","2017",29809.475756,
"POL","GDP","TOT","USD_CAP","A","2018",32611.366209,
"POL","GDP","TOT","USD_CAP","A","2019",34781.291291,
"PRT","GDP","TOT","USD_CAP","A","2016",31607.610185,
"PRT","GDP","TOT","USD_CAP","A","2017",33150.218631,
"PRT","GDP","TOT","USD_CAP","A","2018",36034.254183,
"PRT","GDP","TOT","USD_CAP","A","2019",37856.227067,"P"
"SVK","GDP","TOT","USD_CAP","A","2016",29659.331169,
"SVK","GDP","TOT","USD_CAP","A","2017",30194.101459,
"SVK","GDP","TOT","USD_CAP","A","2018",32557.961239,
"SVK","GDP","TOT","USD_CAP","A","2019",33520.991733,
"ESP","GDP","TOT","USD_CAP","A","2016",37313.634913,
"ESP","GDP","TOT","USD_CAP","A","2017",39706.576006,
"ESP","GDP","TOT","USD_CAP","A","2018",42067.248749,"P"
"ESP","GDP","TOT","USD_CAP","A","2019",43470.590259,"P"
"SWE","GDP","TOT","USD_CAP","A","2016",50430.174559,
"SWE","GDP","TOT","USD_CAP","A","2017",52113.823276,
"SWE","GDP","TOT","USD_CAP","A","2018",55243.370018,
"SWE","GDP","TOT","USD_CAP","A","2019",56701.10903,
"TUR","GDP","TOT","USD_CAP","A","2016",26695.909373,
"TUR","GDP","TOT","USD_CAP","A","2017",28283.087602,
"TUR","GDP","TOT","USD_CAP","A","2018",29155.185099,
"TUR","GDP","TOT","USD_CAP","A","2019",28422.872447,
"GBR","GDP","TOT","USD_CAP","A","2016",44125.534988,
"GBR","GDP","TOT","USD_CAP","A","2017",45903.892036,
"GBR","GDP","TOT","USD_CAP","A","2018",48651.565787,
"GBR","GDP","TOT","USD_CAP","A","2019",49912.445553,
"EST","GDP","TOT","USD_CAP","A","2016",31574.446846,
"EST","GDP","TOT","USD_CAP","A","2017",34010.353709,
"EST","GDP","TOT","USD_CAP","A","2018",37554.962719,
"EST","GDP","TOT","USD_CAP","A","2019",40040.294485,
"SVN","GDP","TOT","USD_CAP","A","2016",33942.76789,
"SVN","GDP","TOT","USD_CAP","A","2017",36632.304883,
"SVN","GDP","TOT","USD_CAP","A","2018",40181.328064,
"SVN","GDP","TOT","USD_CAP","A","2019",42409.479796,
"LVA","GDP","TOT","USD_CAP","A","2016",26712.835239,
"LVA","GDP","TOT","USD_CAP","A","2017",28757.540113,
"LVA","GDP","TOT","USD_CAP","A","2018",31786.670879,
"LVA","GDP","TOT","USD_CAP","A","2019",33013.933501,
"LTU","GDP","TOT","USD_CAP","A","2016",30925.151813,
"LTU","GDP","TOT","USD_CAP","A","2017",33869.715253,
"LTU","GDP","TOT","USD_CAP","A","2018",37493.452149,
"LTU","GDP","TOT","USD_CAP","A","2019",39911.871525,
"BGR","GDP","TOT","USD_CAP","A","2016",20019.638626,
"BGR","GDP","TOT","USD_CAP","A","2017",21455.573518,
"BGR","GDP","TOT","USD_CAP","A","2018",23634.167922,
"BGR","GDP","TOT","USD_CAP","A","2019",25312.301266,
"HRV","GDP","TOT","USD_CAP","A","2016",24887.753281,
"HRV","GDP","TOT","USD_CAP","A","2017",26851.047294,
"HRV","GDP","TOT","USD_CAP","A","2018",29433.683652,
"HRV","GDP","TOT","USD_CAP","A","2019",31133.096024,"P"
"ROU","GDP","TOT","USD_CAP","A","2016",24266.283962,
"ROU","GDP","TOT","USD_CAP","A","2017",27222.724222,
"ROU","GDP","TOT","USD_CAP","A","2018",30167.486697,
"ROU","GDP","TOT","USD_CAP","A","2019",33316.103697,"P"
